Bi 	ξ1	C1	ξ1	C1	ξ1	C1
0.01	0.0998	1.0017	0.1412	1.0025	0.173	1.003
0.02	0.141	1.0033	0.1995	1.005	0.2445	1.006
0.03	0.1732	1.0049	0.2439	1.0075	0.2989	1.009
0.04	0.1987	1.0066	0.2814	1.0099	0.345	1.012
0.05	0.2217	1.0082	0.3142	1.0124	0.3852	1.0149
0.06	0.2425	1.0098	0.3438	1.0148	0.4217	1.0179
0.07	0.2615	1.0114	0.3708	1.0173	0.455	1.0209
0.08	0.2791	1.013	0.396	1.0197	0.486	1.0239
0.09	0.2956	1.0145	0.4195	1.0222	0.515	1.0268
0.1	0.3111	1.016	0.4417	1.0246	0.5423	1.0298
0.15	0.3779	1.0237	0.5376	1.0365	0.6608	1.0445
0.2	0.4328	1.0311	0.617	1.0483	0.7593	1.0592
0.25	0.4801	1.0382	0.6856	1.0598	0.8448	1.0737
0.3	0.5218	1.045	0.7465	1.0712	0.9208	1.088
0.4	0.5932	1.058	0.8516	1.0932	1.0528	1.0164
0.5	0.6533	1.0701	0.9408	1.1143	1.1656	1.1441
0.6	0.7051	1.0814	1.0185	1.1346	1.2644	1.1713
0.7	0.7506	1.0919	1.0873	1.1539	1.3225	1.1978
0.8	0.791	1.1016	1.149	1.1725	1.432	1.2236
0.9	0.8274	1.1107	1.2048	1.1902	1.5044	1.2488
1	0.8603	1.1191	1.2558	1.2071	1.5708	1.2732
2	1.0769	1.1795	0.16	1.3384	2.0288	1.4793
3	1.1925	1.2102	1.7887	1.4191	2.2889	1.6227
4	1.2646	1.2287	1.9081	1.4698	0.2046	1.7201
5	1.3138	1.2402	1.9898	1.5029	2.5704	1.787
6	1.3496	1.2479	2.049	1.5253	2.6537	1.8338
7	1.3766	1.2532	2.0937	1.5411	2.7165	1.8674
8	1.3978	1.257	2.1286	1.5526	2.7654	1.8921
9	1.4149	1.2598	2.1566	1.5611	2.8044	1.9106
10	1.4289	1.262	2.1795	1.5677	2.8363	1.9249
20	1.4961	1.2699	2.2881	1.5919	2.9857	1.9781
30	1.5202	1.2717	2.3261	1.5973	3.0372	1.9898
40	1.5325	1.2723	2.3455	0.1599	3.0632	1.9942
50	1.54	1.2727	2.3572	1.6002	3.0788	1.9962
100	1.5552	1.2731	2.3809	1.6015	3.1102	1.9999
